name,regions,habitat,diet,type,start_date,end_date,size,Length,Height,weight,size_index,image_location,timestamp,case_hash,tooltip_content,disinformant_nation,attribution_date,methods,attribution_total_score,tags,url
Iguanodon,Eurasia,Land,Herbivore,Dinosaur,12/31/0125,12/31/0125,33,,,9000,57,trexskull,12/31/0125 12:00,Permian,,Russia,12/31/0125,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Baryonyx,Eurasia,Land,Carnivore,Dinosaur,12/31/0125,12/31/0125,26,,,4000,15,mammoth,12/31/0125 12:00,Cretaceous,,Thailand,12/31/0125,Hacking - Data Exfiltration,14,,
Hatzegopteryx,Eurasia,Air,Carnivore,Flying Reptile,12/31/0070,12/31/0070,33,,,250,35,pterodactyl,12/31/0070 12:00,Jurassic,,Russia,12/31/0070,Sockpuppets,10,,
Mesosaurus,Africa,Water,Carnivore,Marine Reptile,12/31/0290,12/31/0290,3,,,20,15,aquatic,12/31/0290 12:00,Triassic,,Russia,12/31/0290,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Giraffatitan,Africa,Land,Herbivore,Dinosaur,12/31/0142,12/31/0142,66,,,80000,15,herbivore,12/31/0142 12:00,Permian,,Russia,12/31/0142,Hacking - Data Exfiltration,12,,
Spinosaurus,Africa,Land,Carnivore,Dinosaur,12/31/0075,12/31/0075,50,,,44000,30,spinosaurus,12/31/0075 12:00,Jurassic,,Thailand,12/31/0075,Hacking - Data Exfiltration,14,,
Shunosaurus,Eurasia,Land,Herbivore,Dinosaur,12/31/0170,12/31/0170,33,,,7000,21,duckbilled,12/31/0170 12:00,Cretaceous,,Russia,12/31/0170,Sockpuppets,10,,
Psittacosaurus,Eurasia,Land,Herbivore,Dinosaur,12/31/0120,12/31/0120,7,,,40,12,lizard,12/31/0120 12:00,Jurassic,,Russia,12/31/0120,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Yutyrannus,Eurasia,Land,Carnivore,Dinosaur,12/31/0125,12/31/0125,30,,,2000,17,talons,12/31/0125 12:00,Holocene,,China,12/31/0125,Hacking - Data Exfiltration,12,,
Microraptor,Eurasia,Land,Carnivore,Dinosaur,12/31/0120,12/31/0120,2.5,,,2,57,smallraptor,12/31/0120 12:00,Permian,,Russia,12/31/0120,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Velociraptor,Eurasia,Land,Carnivore,Dinosaur,12/31/0070,12/31/0070,6.5,,,100,15,raptor,12/31/0070 12:00,Cretaceous,,Thailand,12/31/0070,Hacking - Data Exfiltration,14,,
Cryolophosaurus,Antarctica,Land,Carnivore,Dinosaur,12/31/0170,12/31/0170,23,,,2000,35,talons,12/31/0170 12:00,Jurassic,,Russia,12/31/0170,Sockpuppets,10,,
Muttaburrasaurus,Australia,Land,Herbivore,Dinosaur,12/31/0110,12/31/0110,26,,,5600,20,herbivore,12/31/0110 12:00,Triassic,,Russia,12/31/0110,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Laellynasoura,Australia,Land,Herbivore,Dinosaur,12/31/0110,12/31/0110,8,,,300,23,raptor,12/31/0110 12:00,Permian,,Russia,12/31/0110,Hacking - Data Exfiltration,12,,
Titanoboa,South America,Land,Carnivore,Reptile,12/31/0060,12/31/0060,40,,,2500,17,mammoth,12/31/0060 12:00,Jurassic,,Thailand,12/31/0060,Hacking - Data Exfiltration,14,,
Gastornis,Eurasia,Land,Herbivore,Bird,12/31/0040,12/31/0040,6.5,,,250,57,raptor,12/31/0040 12:00,Cretaceous,,Russia,12/31/0040,Sockpuppets,10,,
Basilosaurus,North America,Water,Carnivore,Mammal,12/31/0040,12/31/0040,59,,,30000,15,aquatic,12/31/0040 12:00,Jurassic,,Russia,12/31/0040,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Smilodon,North America,Land,Herbivore,Mammal,12/31/0005,12/31/0005,8,,,600,35,raptor,12/31/0005 12:00,Holocene,,China,12/31/0005,Hacking - Data Exfiltration,12,,
Wooly Mammoth,North America,Land,Herbivore,Mammal,12/31/0003,12/31/0003,16,,,16000,17,mammoth,12/31/0003 12:00,Permian,,Russia,12/31/0003,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Megalania,Australia,Land,Carnivore,Lizard,12/31/0001,12/31/0001,20,,,4400,57,lizard,12/31/0001 12:00,Cretaceous,,Thailand,12/31/0001,Hacking - Data Exfiltration,14,,
